Light Engines,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Total,
,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost
LED-255-H00-30,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$15.15 ,,,,,,,,,,,,,,,1,$15.15 
LED-273-S00-RGB30,8,$367.27 ,1,$45.91 ,2,$91.82 ,2,$91.82 ,0,$0.00 ,,,,,,,,,,,,,,,13,$596.82 
LED-274-S00-30,0,$0.00 ,0,$0.00 ,1,$12.34 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$12.34 
LED-275-H35-2722,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,2,$58.16 ,,,,,,,,,,,,,,,2,$58.16 
LED-275-S70-3022,0,$0.00 ,1,$29.11 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$29.11 
LED-276-H70-3022,0,$0.00 ,0,$0.00 ,0,$0.00 ,2,$58.27 ,0,$0.00 ,,,,,,,,,,,,,,,2,$58.27 
LED-281-H00-3022,0,$0.00 ,0,$0.00 ,1,$13.37 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$13.37 
LED-293-H00-27,0,$0.00 ,1,$25.86 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$25.86 
LED-293-S00-27,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,5,$129.30 ,,,,,,,,,,,,,,,5,$129.30 
LED-293-S00-30,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$25.86 ,0,$0.00 ,,,,,,,,,,,,,,,1,$25.86 
LED-293-S00-35,0,$0.00 ,0,$0.00 ,1,$25.86 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$25.86 
LED-293-S00-40,0,$0.00 ,0,$0.00 ,1,$25.86 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$25.86 
LED-307-H00-27,0,$0.00 ,0,$0.00 ,1,$4.16 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$4.16 
LED-307-H00-30,2,$8.27 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,15,$61.99 ,,,,,,,,,,,,,,,17,$70.26 
LED-307-H00-35,0,$0.00 ,0,$0.00 ,0,$0.00 ,34,$140.51 ,0,$0.00 ,,,,,,,,,,,,,,,34,$140.51 
