Item ID,Rev Level,Item Name
LED-238-C00-A1,A,LIGHT ENGINE-(10) LUMILED LXM REBEL 36V BEVELED 2.0 COLORS-AMBER
LED-239-H00-27,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A HI CRI 2700K"
LED-239-H00-30,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A HI CRI 3000K"
LED-239-H01-27,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V,8-33W,.35-1.4A HI CRI 2700K"
LED-239-H01-30,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A HI CRI 3000K"
LED-239-H01-35,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A HI CRI 3500K"
LED-239-S00-22,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A STD CRI 2200K"
LED-239-S00-27,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A STD CRI 2700K"
LED-239-S00-30,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A STD CRI 3000K"
LED-239-S00-35,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A STD CRI 3500K"
LED-239-S00-40,B,"LIGHT ENGINE-(7) CREE XPL WIDE ARRAY, 21V, 8-33V, .35-1.4A STD CRI 4000K"
LED-239-S01-27,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A STD CRI 2700K"
LED-239-S01-30,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A STD CRI 3000K"
LED-239-S01-35,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A STD CRI 3500K"
LED-239-S01-40,B,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A STD CRI 4000K"
LED-240-H00-27,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A HI CRI 2700K"
LED-240-H00-30,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A HI CRI 3000K"
LED-240-H01-27,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A-HI CRI 2700K"
LED-240-H01-30,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A-HI CRI 3000K"
LED-240-H01-35,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A  CRI 3500K"
LED-240-H01-40,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A CRI 4000K"
LED-240-S00-22,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A STD CRI 2200K"
LED-240-S00-27,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A STD CRI 2700K"
LED-240-S00-30,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A STD CRI 3000K"
LED-240-S00-35,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A STD CRI 3500K"
LED-240-S00-40,E,"LIGHT ENGINE-(7) CREE XPL, 19-23V, 8-33W, .35-1.4A STD CRI 4000K"
LED-240-S01-27,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A-STD CRI 2700K"
LED-240-S01-30,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A-STD CRI 3000K"
